year,Risk_Factor,Loss_Billion
1990,High BMI,0
1990,High alcohol use,0.009718260623785516
1990,High fasting plasma glucose,0.03803550213471989
1990,Low physical activity,0.007435557027176903
1990,Tobacco use,0.0914820470601987
1991,High BMI,0
1991,High alcohol use,0.010927123009592206
1991,High fasting plasma glucose,0.04285231370742304
1991,Low physical activity,0.008292088953363929
1991,Tobacco use,0.10371190682792973
1992,High BMI,0
1992,High alcohol use,0.012731083473864112
1992,High fasting plasma glucose,0.05012922977685403
1992,Low physical activity,0.009608923619252911
1992,Tobacco use,0.1219895861007831
1993,High BMI,0
1993,High alcohol use,0.014621951757659662
1993,High fasting plasma glucose,0.05790613340636408
1993,Low physical activity,0.01103811460234732
1993,Tobacco use,0.14140318079752673
1994,High BMI,0
1994,High alcohol use,0.016646295818531047
1994,High fasting plasma glucose,0.06644259672208326
1994,Low physical activity,0.012612288844698456
1994,Tobacco use,0.16218833890212045
1995,High BMI,0
1995,High alcohol use,0.018583798199606795
1995,High fasting plasma glucose,0.07317368897864956
1995,Low physical activity,0.014148276436929662
1995,Tobacco use,0.18223259502959976
1996,High BMI,0
1996,High alcohol use,0.020300649528427268
1996,High fasting plasma glucose,0.08000206287370995
1996,Low physical activity,0.015744234628221807
1996,Tobacco use,0.20259707650831832
1997,High BMI,0
1997,High alcohol use,0.021351951922799022
1997,High fasting plasma glucose,0.08572608169633585
1997,Low physical activity,0.017230241273250298
1997,Tobacco use,0.22040806899060741
1998,High BMI,0
1998,High alcohol use,0.022001736287771394
1998,High fasting plasma glucose,0.09067947209223182
1998,Low physical activity,0.018577330114659237
1998,Tobacco use,0.2359735988335041
1999,High BMI,0
1999,High alcohol use,0.02235512967761192
1999,High fasting plasma glucose,0.09387243977485707
1999,Low physical activity,0.019690268901885882
1999,Tobacco use,0.24722899118291056
2000,High BMI,0
2000,High alcohol use,0.02362641651151804
2000,High fasting plasma glucose,0.09890499426998756
2000,Low physical activity,0.021222740710090962
2000,Tobacco use,0.2626610777542383
2001,High BMI,0
2001,High alcohol use,0.025274431494730687
2001,High fasting plasma glucose,0.10346123252311507
2001,Low physical activity,0.02274258815548426
2001,Tobacco use,0.2772537913433191
2002,High BMI,0
2002,High alcohol use,0.026877707373761717
2002,High fasting plasma glucose,0.10699900327385894
2002,Low physical activity,0.024049617395969124
2002,Tobacco use,0.2893417433599085
2003,High BMI,0
2003,High alcohol use,0.02890880928446126
2003,High fasting plasma glucose,0.11239011422436859
2003,Low physical activity,0.025630641578049347
2003,Tobacco use,0.3047791439280827
2004,High BMI,0
2004,High alcohol use,0.03086919061548275
2004,High fasting plasma glucose,0.11666139347035051
2004,Low physical activity,0.027057974859605295
2004,Tobacco use,0.31955359741279377
2005,High BMI,0
2005,High alcohol use,0.03364166034581143
2005,High fasting plasma glucose,0.12369528107113875
2005,Low physical activity,0.02931130328351794
2005,Tobacco use,0.3435191487401158
2006,High BMI,0
2006,High alcohol use,0.037159569625033716
2006,High fasting plasma glucose,0.13232957646715426
2006,Low physical activity,0.031929737023565025
2006,Tobacco use,0.3734493307940616
2007,High BMI,0
2007,High alcohol use,0.042225272102567976
2007,High fasting plasma glucose,0.14535182466430074
2007,Low physical activity,0.03567673416614789
2007,Tobacco use,0.4160922059750019
2008,High BMI,0
2008,High alcohol use,0.04606054800302382
2008,High fasting plasma glucose,0.15349204844177455
2008,Low physical activity,0.03829320436481329
2008,Tobacco use,0.4446446532356494
2009,High BMI,0
2009,High alcohol use,0.05050461096756484
2009,High fasting plasma glucose,0.16348130618074946
2009,Low physical activity,0.04124738238133263
2009,Tobacco use,0.479677684757581
2010,High BMI,0
2010,High alcohol use,0.05566425554510421
2010,High fasting plasma glucose,0.1770703353567576
2010,Low physical activity,0.045238116661707004
2010,Tobacco use,0.5245247241564587
2011,High BMI,0
2011,High alcohol use,0.05923892201892912
2011,High fasting plasma glucose,0.18647790344559267
2011,Low physical activity,0.04809999338652361
2011,Tobacco use,0.5539464230568523
2012,High BMI,0
2012,High alcohol use,0.06153567163851639
2012,High fasting plasma glucose,0.19153245163722493
2012,Low physical activity,0.04988025821495207
2012,Tobacco use,0.5697244809567192
2013,High BMI,0
2013,High alcohol use,0.06374172401567055
2013,High fasting plasma glucose,0.19570812650346714
2013,Low physical activity,0.051406735846386095
2013,Tobacco use,0.5829541119721471
2014,High BMI,0
2014,High alcohol use,0.06644666322661438
2014,High fasting plasma glucose,0.20188635641810893
2014,Low physical activity,0.05354170297429513
2014,Tobacco use,0.6008860639035667
2015,High BMI,0
2015,High alcohol use,0.06850470624960749
2015,High fasting plasma glucose,0.2070899116201623
2015,Low physical activity,0.055442987581963234
2015,Tobacco use,0.6140599911631883
2016,High BMI,0
2016,High alcohol use,0.07042422454953096
2016,High fasting plasma glucose,0.2128656617420877
2016,Low physical activity,0.05751992605051263
2016,Tobacco use,0.6286179838780435
2017,High BMI,0
2017,High alcohol use,0.07294753666068728
2017,High fasting plasma glucose,0.22217103133736701
2017,Low physical activity,0.06061438197389204
2017,Tobacco use,0.6518898287563855
2018,High BMI,0
2018,High alcohol use,0.0744669245910683
2018,High fasting plasma glucose,0.22914376607874892
2018,Low physical activity,0.06315019468284115
2018,Tobacco use,0.667421245381874
2019,High BMI,0
2019,High alcohol use,0.07538743564922273
2019,High fasting plasma glucose,0.23462035715679447
2019,Low physical activity,0.06499292460922945
2019,Tobacco use,0.6773745707778418
2020,High BMI,0
2020,High alcohol use,0.07434868031151634
2020,High fasting plasma glucose,0.23333714600017205
2020,Low physical activity,0.06464405897244019
2020,Tobacco use,0.6667850538393638
2021,High BMI,0
2021,High alcohol use,0.08158549995707104
2021,High fasting plasma glucose,0.25638000911270875
2021,Low physical activity,0.07086919147766775
2021,Tobacco use,0.7247704012786469
2022,High BMI,0
2022,High alcohol use,0.08827408164168171
2022,High fasting plasma glucose,0.2775769272566133
2022,Low physical activity,0.0763273638661402
2022,Tobacco use,0.7750179459459903
2023,High BMI,0
2023,High alcohol use,0.09170623719698404
2023,High fasting plasma glucose,0.29113975561367345
2023,Low physical activity,0.07853310332355937
2023,Tobacco use,0.7931982526085586
