year,age_name,Risk_Factor,PAF_DALY,PAF_YLL,Absolute_Difference_YLL_minus_DALY
2023,25-29 years,High BMI,0,0,0
2023,25-29 years,High alcohol use,0.01278197,0.012768575,-1.339499999999938e-5
2023,25-29 years,High fasting plasma glucose,0.025011343,0.024950763,-6.057999999999758e-5
2023,25-29 years,Low physical activity,0.012452162,0.012467493,1.5331000000000372e-5
2023,25-29 years,Tobacco use,0.126562943,0.126511273,-5.167000000000366e-5
2023,30-34 years,High BMI,0,0,0
2023,30-34 years,High alcohol use,0.014492506,0.014474077,-1.8429000000000362e-5
2023,30-34 years,High fasting plasma glucose,0.032046331,0.031994603,-5.1727999999993945e-5
2023,30-34 years,Low physical activity,0.012391762,0.012405335,1.3572999999999363e-5
2023,30-34 years,Tobacco use,0.127430066,0.127369088,-6.0978000000017074e-5
2023,35-39 years,High BMI,0,0,0
2023,35-39 years,High alcohol use,0.014568366,0.014541915,-2.6450999999998517e-5
2023,35-39 years,High fasting plasma glucose,0.040487655,0.040431344,-5.631099999999639e-5
2023,35-39 years,Low physical activity,0.011994053,0.012014395,2.0342000000001317e-5
2023,35-39 years,Tobacco use,0.126968429,0.126892785,-7.564399999998583e-5
2023,40-44 years,High BMI,0,0,0
2023,40-44 years,High alcohol use,0.016239884,0.016208622,-3.126200000000065e-5
2023,40-44 years,High fasting plasma glucose,0.047710849,0.047636805,-7.404400000000227e-5
2023,40-44 years,Low physical activity,0.012682763,0.012707879,2.5116000000000374e-5
2023,40-44 years,Tobacco use,0.129928242,0.129840074,-8.816799999999958e-5
2023,45-49 years,High BMI,0,0,0
2023,45-49 years,High alcohol use,0.014464701,0.014432455,-3.2245999999999664e-5
2023,45-49 years,High fasting plasma glucose,0.055625895,0.055550561,-7.533400000000329e-5
2023,45-49 years,Low physical activity,0.013235712,0.013255741,2.0028999999999533e-5
2023,45-49 years,Tobacco use,0.129561462,0.129483408,-7.805399999999407e-5
